mass_B
t	x	y
8.297	126.616	4.471
8.331	125.229	4.740
8.364	123.986	4.623
8.397	122.759	4.819
8.431	121.579	4.755
8.464	120.387	5.050
8.497	118.902	5.696
8.530	118.293	5.706
8.564	117.219	5.929
8.597	115.923	6.040
8.630	115.043	6.186
8.664	113.897	6.265
8.697	112.775	6.313
8.730	111.728	6.472
8.764	110.736	6.511
8.797	109.610	6.559
8.830	108.333	6.506
8.864	107.266	6.415
8.897	106.315	6.344
8.930	105.367	6.329
8.964	104.265	6.294
8.997	103.243	6.133
9.030	102.208	6.022
9.064	101.138	5.822
9.097	100.057	5.080
9.130	99.270	4.940
9.164	98.218	4.745
9.197	97.117	4.529
9.230	96.221	4.270
9.264	95.393	3.993
9.297	94.434	3.752
9.330	93.462	3.499
9.364	92.304	3.175
9.397	91.323	2.860
9.430	90.671	2.564
9.464	89.861	2.296
9.497	88.904	2.175
9.530	87.486	1.768
9.563	86.514	1.283
9.597	85.841	1.301
9.630	85.277	1.156
9.663	83.838	0.783
9.697	82.890	0.618
9.730	82.076	0.479
9.763	81.354	0.565
9.797	80.361	0.566
9.830	79.540	0.559
9.863	79.145	0.028
9.897	78.125	0.042
9.930	76.824	0.449
9.963	76.317	0.552
9.997	74.462	0.193
10.030	73.571	0.223
10.063	72.830	0.371
10.097	72.474	0.820
10.130	71.680	0.992
10.163	70.967	1.197
10.197	70.206	1.381
10.230	69.413	1.535
10.263	68.633	1.768
10.297	67.922	1.981
10.330	67.186	2.222
10.363	66.540	2.507
10.397	65.811	2.769
10.430	65.052	3.063
10.463	64.147	3.227
10.496	63.854	3.430
10.530	63.126	3.709
10.563	62.194	3.954
10.596	61.470	4.065
10.630	60.729	4.252
10.663	60.174	4.331
10.696	59.502	4.487
10.730	58.831	4.601
10.763	58.173	4.637
10.796	57.510	4.629
10.830	56.838	4.594
10.863	56.277	4.596
10.896	55.415	4.411
10.930	54.869	4.343
10.963	54.168	4.158
10.996	53.528	3.944
11.030	53.007	3.818
11.063	52.237	3.554
11.096	51.711	3.313
11.130	51.108	3.022
11.163	50.266	2.682
11.196	49.959	2.822
11.230	49.574	2.251
11.263	48.532	1.567
11.296	48.422	1.499
11.330	48.152	1.304
11.363	47.280	1.152
11.396	46.373	0.823
11.430	45.337	0.668
11.463	45.531	0.633
11.496	45.147	0.510
11.529	44.541	0.112
11.563	44.067	-0.149
11.596	43.405	0.459
11.629	43.221	0.272
11.663	42.516	0.170
11.696	42.334	0.162
11.729	41.677	0.414
11.763	41.188	0.747
11.796	40.647	1.063
11.829	40.670	1.193
11.863	39.732	1.470
11.896	39.096	1.825
11.929	38.056	1.717
11.963	37.625	2.093
11.996	37.393	2.259
12.029	37.262	2.379
12.063	36.703	2.883
12.096	35.991	3.074
12.129	35.400	3.505
12.163	34.874	4.097
12.196	34.535	4.007
12.229	34.626	4.008
12.263	33.605	3.802
12.296	33.285	4.289
12.329	32.757	4.225
12.363	32.305	4.558
12.396	32.690	4.337
12.429	31.737	4.302
12.463	31.640	4.301
12.496	31.072	4.173
12.529	30.653	3.965
12.562	30.229	3.518
12.596	29.669	3.357
12.629	29.221	3.223
12.662	29.207	2.921
12.696	28.713	2.310
12.729	28.952	1.836
12.762	28.674	2.235
12.796	28.304	1.949
12.829	27.983	1.794
12.862	27.698	1.679
12.896	27.543	1.901
12.929	26.978	0.515
12.962	26.825	0.833
12.996	26.555	0.867
13.029	26.875	0.750
13.062	26.339	0.407
13.096	26.261	0.400
13.129	25.923	0.277
13.162	25.218	0.879
13.196	24.467	0.898
13.229	24.312	1.382
13.262	24.300	1.605
13.296	24.241	1.643
13.329	23.761	2.124
13.362	23.722	2.427
13.396	23.651	2.587
13.429	23.051	2.768
13.462	23.509	3.333
13.495	23.509	3.376
13.529	22.959	3.790
13.562	22.795	3.705
13.595	22.245	3.532
13.629	21.987	3.577
13.662	21.866	3.689
13.695	21.871	3.695
13.729	21.761	3.889
13.762	21.422	3.824
13.795	21.112	3.472
13.829	21.266	2.665
13.862	21.489	2.261
13.895	21.491	2.017
13.929	21.405	1.979
13.962	21.278	1.958
13.995	21.174	1.539
14.029	21.013	1.592
14.062	20.696	1.225
14.095	20.605	0.929
14.129	20.705	0.567
14.162	20.641	0.475
14.195	20.579	0.304
14.229	20.446	0.223
14.262	20.415	0.144
14.295	20.406	0.091
14.329	20.253	0.264
14.362	20.270	0.213
14.395	20.118	0.460
14.429	20.087	0.851
14.462	20.115	1.166
14.495	20.157	1.544
14.528	20.206	1.939
14.562	20.155	2.286
14.595	20.104	2.645
14.628	20.182	2.947
