mass_A
t	x	y	v_{x}	v_{y}
0,033	-2,019	-17,33		
0,067	-2,240	-17,54	-2,245	-2,613
0,100	-2,168	-17,50	0,453	0,607
0,133	-2,210	-17,50	-1,872	1,430
0,167	-2,293	-17,41	-2,113	1,966
0,200	-2,351	-17,37	-5,857	1,079
0,233	-2,683	-17,33	-9,846	3,167
0,267	-3,007	-17,15	3,829	1,125
0,300	-2,428	-17,26	13,77	-3,941
0,333	-2,089	-17,42	9,960	-0,829
0,367	-1,764	-17,31	1,859	2,292
0,400	-1,965	-17,26	-5,908	-6,694E-2
0,433	-2,158	-17,32	-4,062	0,308
0,467	-2,236	-17,24	1,751	-0,481
0,500	-2,041	-17,35	8,326	-2,739
0,533	-1,681	-17,43	12,21	-1,686
0,566	-1,228	-17,46	3,007	-1,371
0,600	-1,481	-17,52	-4,362	-0,720
0,633	-1,518	-17,51	17,97	0,820
0,666	-0,283	-17,46	58,72	19,05
0,700	2,395	-16,24	70,38	28,42
0,733	4,408	-15,57	9,458	-23,15
0,766	3,025	-17,78	-7,171	-30,89
0,800	3,930	-17,63	40,31	2,743
0,833	5,712	-17,60	58,37	-1,185
0,866	7,820	-17,71	65,91	-3,748
0,900	10,10	-17,85	72,34	-3,045
0,933	12,64	-17,91	76,96	-1,848
0,966	15,23	-17,97	75,59	-0,564
1,000	17,68	-17,95	67,71	1,492
1,033	19,75	-17,88	63,39	-6,543E-2
1,066	21,90	-17,95	73,69	0,501
1,100	24,66	-17,84	83,89	3,128
1,133	27,49	-17,74	90,11	-0,614
1,166	30,66	-17,88	101,0	-4,820
1,200	34,23	-18,06	106,7	-7,992
1,233	37,77	-18,42	105,3	-6,570
1,266	41,25	-18,50	109,8	-2,844
1,300	45,09	-18,60	101,6	-3,636
1,333	48,02	-18,74	103,6	-4,249
1,366	51,99	-18,89	125,0	-4,420
1,400	56,35	-19,04	131,2	-4,650
1,433	60,74	-19,20	130,2	-4,773
1,466	65,02	-19,36	130,9	-2,891
1,500	69,47	-19,39	130,0	-2,455
1,533	73,69	-19,52	129,6	-4,419
1,566	78,10	-19,69	134,6	-4,138
1,599	82,66	-19,80	138,5	-3,224
1,633	87,33	-19,90	146,2	-1,990
1,666	92,40	-19,93	155,4	-1,737
1,699	97,69	-20,02	148,3	-0,306
