mass_A
t	x	y	v_{x}	v_{y}
1,733	102,3	-19,95	144,1	-0,204
1,766	107,3	-20,03	156,1	-2,431
1,799	112,7	-20,11	160,8	1,044
1,833	118,0	-19,96	165,2	1,918
1,866	123,7	-19,98	194,1	0,525
1,899	130,9	-19,92	190,6	13,62
1,933	136,4	-19,08	166,4	12,48
1,966	142,0	-19,09	175,2	-0,772
1,999	148,1	-19,13	181,7	-0,726
2,033	154,1	-19,14	188,5	2,644
2,066	160,6	-18,95	216,0	10,37
2,099	168,5	-18,45	207,4	12,97
2,133	174,5	-18,09	184,2	6,464
2,166	180,8	-18,02	193,4	0,410
2,199	187,3	-18,06	198,7	-3,129
2,233	194,1	-18,23	208,3	-3,733
2,266	201,2	-18,31	216,6	-3,168
2,299	208,5	-18,44	220,9	-6,856
2,333	215,9	-18,77	224,1	-7,736
2,366	223,4	-18,95	227,8	-6,734
2,399	231,1	-19,21	231,3	-6,579
2,433	238,8	-19,39	224,7	-5,173
2,466	246,1	-19,56	225,6	-5,505
2,499	253,9	-19,76	241,2	-7,060
2,532	262,2	-20,03	257,5	-7,760
2,566	271,0	-20,28	256,2	-7,141
2,599	279,2	-20,51	239,7	-6,215
2,632	287,0	-20,69	245,2	-6,436
2,666	295,6	-20,93	263,8	-7,131
2,699	304,6	-21,17	262,5	-6,288
2,732	313,1	-21,35	263,8	-7,124
2,766	322,2	-21,64	272,6	-7,502
2,799	331,3	-21,85	266,6	-5,331
2,832	339,9	-22,00	267,4	-5,558
2,866	349,1	-22,22	272,8	-4,758
2,899	358,1	-22,31	277,2	-5,218
2,932	367,5	-22,57	285,3	-8,854
2,966	377,1	-22,90	293,4	-7,179
2,999	387,1	-23,05	293,0	-4,148
3,032	396,7	-23,18	294,0	-2,230
3,066	406,7	-23,20	340,0	4,436
3,099	419,3	-22,88	325,7	11,12
3,132	428,4	-22,46	287,0	4,650
3,166	438,5	-22,57	316,8	-4,314
3,199	449,5	-22,75	321,1	-3,450
3,232	459,9	-22,80	314,5	-1,776
3,266	470,5	-22,86	348,2	6,091
3,299	483,1	-22,40	335,4	14,77
3,332	492,8	-21,88	311,0	8,039
3,366	503,8	-21,86	332,4	0,172
3,399	515,0	-21,87	334,5	-5,209
3,432	526,1	-22,21	340,7	-9,876
3,466	537,7	-22,53	365,9	0,566
3,499	550,5	-22,17	362,6	13,71
3,532	561,9	-21,61	345,1	7,630
3,565	573,5	-21,66	358,3	-4,539
3,599	585,7	-21,91	353,7	-8,740
3,632	597,0	-22,25	347,3	-10,10
3,665	608,9	-22,59	367,7	-10,03
3,699	621,5	-22,91	376,1	-9,215
3,732	633,9	-23,20	371,7	-8,442
3,765	646,3	-23,48	379,2	-5,086
3,799	659,2	-23,54	374,5	-0,322
3,832	671,3	-23,50	387,3	3,173
3,865	685,0	-23,33	404,0	6,424
3,899	698,2	-23,07	396,5	1,054
3,932	711,5	-23,26	395,8	-5,979
3,965	724,6	-23,47	403,2	-8,230
3,999	738,3	-23,81	392,4	-8,317
4,032	750,7	-24,02	389,1	-7,616
4,065	764,3	-24,32	413,2	-9,250
4,099	778,3	-24,64	413,7	-2,992
4,132	791,8	-24,52	413,8	-7,025
4,165	805,8	-25,11	422,4	-18,28
4,199	820,0	-25,73	418,7	-10,59
4,232	833,7	-25,81	414,4	-5,806
4,265	847,6	-26,12	429,9	-7,469
4,299	862,4	-26,31	427,3	-1,651
4,332	876,1	-26,23	433,4	4,600
4,365	891,3	-26,00	460,6	0,617
4,399	906,8	-26,19	451,8	-7,830
4,432	921,4	-26,53	438,3	-9,585
4,465	936,0	-26,83	449,6	-10,35
4,498	951,3	-27,22	457,4	-11,87
4,532	966,4	-27,62	465,6	-9,471
4,565	982,4	-27,85	483,3	-10,32
4,598	998,7	-28,31	475,0	-11,31
4,632	1,014E3	-28,60	477,4	-4,146
4,665	1,030E3	-28,58	497,6	-2,144
4,698	1,047E3	-28,74	488,7	-10,95
4,732	1,063E3	-29,31	478,0	-13,91
4,765	1,079E3	-29,67	473,8	-4,214
4,798	1,095E3	-29,59	477,1	2,923
4,832	1,111E3	-29,48	497,0	-2,643
4,865	1,128E3	-29,77	506,7	-7,043
4,898	1,145E3	-29,95	499,0	-6,127
4,932	1,161E3	-30,18	503,6	-8,248
4,965	1,178E3	-30,50	509,5	3,329
4,998	1,195E3	-29,96	509,4	8,873
5,032	1,212E3	-29,90	520,0	-3,853
5,065	1,230E3	-30,21	533,8	188,4
5,098	1,248E3	-17,35	599,9	155,6
5,132	1,270E3	-19,85	474,2	27,98
5,165	1,279E3	-15,48	-200,8	51,46
5,198	1,256E3	-16,42	-819,4	21,49
5,232	1,225E3	-14,05	-893,7	52,31
5,265	1,197E3	-12,93	-576,6	32,45
5,298	1,186E3	-11,89	-264,2	53,13
5,332	1,179E3	-9,391	-143,2	44,18
5,365	1,177E3	-8,946	-333,9	37,63
5,398	1,157E3	-6,883	-642,2	-46,68
5,432	1,134E3	-12,06	-688,7	-57,01
5,465	1,111E3	-10,68	-508,1	1,778
5,498	1,100E3	-11,94	-291,9	100,0
5,531	1,091E3	-4,015	-474,0	422,4
5,565	1,068E3	16,21	-578,6	396,3
5,598	1,053E3	22,40	-453,7	92,74
5,631	1,038E3	22,39	-366,1	-88,56
5,665	1,028E3	16,49	-352,6	-233,3
5,698	1,015E3	6,848	-483,3	-154,8
5,731	996,3	6,178	-605,1	44,74
5,765	974,4	9,830	-378,1	113,9
5,798	971,1	13,77	-257,9	295,5
5,831	957,2	29,52	-471,1	312,6
5,865	939,7	34,60	-435,8	115,4
5,898	928,2	37,21	-340,9	-8,382
5,931	916,9	34,04	-403,8	-203,1
5,965	901,3	23,68	-407,7	-133,7
5,998	889,8	25,13	-401,4	108,7
6,031	874,5	30,92	-380,7	235,2
6,065	864,4	40,81	-340,2	239,9
6,098	851,9	46,91	-356,1	72,86
6,131	840,7	45,66	-336,4	-54,70
6,165	829,4	43,26	-368,1	-163,6
6,198	816,1	34,76	-391,5	-174,5
6,231	803,4	31,63	-347,3	-31,31
6,265	793,0	32,68	-377,4	142,7
6,298	778,2	41,14	-318,9	170,0
6,331	771,7	44,01	-298,4	71,35
6,365	758,3	45,90	-388,0	-48,20
6,398	745,9	40,80	-384,1	-240,1
6,431	732,7	29,90	-348,5	-214,0
6,465	722,7	26,53	-281,8	-55,20
6,498	713,9	26,22	-294,5	81,20
6,531	703,0	31,94	-312,0	122,3
6,565	693,1	34,38	-318,1	-7,959
6,598	681,8	31,41	-254,2	-145,7
6,631	676,2	24,67	-254,6	-265,5
6,665	664,8	13,72	-313,9	-244,9
6,698	655,2	8,350	-313,3	-117,0
6,731	643,9	5,926	-314,5	46,35
6,765	634,3	11,44	-313,6	78,98
6,798	623,0	11,19	-302,6	-19,28
6,831	614,1	10,15	-260,3	-95,19
6,864	605,7	4,846	-297,5	-172,4
6,898	594,3	-1,334	-244,4	-175,1
6,931	589,4	-6,821	-248,5	-84,22
6,964	577,7	-6,947	-297,1	40,20
6,998	569,6	-4,142	-271,3	33,04
7,031	559,7	-4,745	-201,3	-14,16
7,064	556,2	-5,086	-282,1	-128,7
7,098	540,9	-13,32	-293,3	-168,9
7,131	536,6	-16,34	-191,7	-41,91
7,164	528,1	-16,12	-230,2	47,19
7,198	521,3	-13,19	-233,9	103,9
7,231	512,5	-9,193	-244,2	104,1
7,264	505,0	-6,254	-184,1	40,84
7,298	500,2	-6,471	-208,9	-118,0
7,331	491,1	-14,12	-218,0	-107,0
7,365	485,6	-13,63	-162,7	71,13
7,398	480,3	-9,376	-243,4	171,6
7,431	469,5	-2,237	-273,8	151,2
7,464	462,0	0,702	-167,5	86,70
7,498	458,3	3,541	-184,4	30,56
7,531	449,7	2,738	-206,2	-15,17
7,564	444,6	2,530	-204,0	67,08
7,598	436,1	7,209	-144,2	189,0
7,631	435,0	15,12	-124,1	173,0
7,664	427,9	18,74	-182,2	112,8
7,698	422,8	22,64	-136,9	75,61
7,731	418,7	23,78	-149,3	-6,371
7,764	412,9	22,22	-149,5	-11,51
7,798	408,8	23,01	-156,5	112,1
7,831	402,4	29,69	-165,7	153,5
7,864	397,7	33,24	-167,3	91,84
7,897	391,3	35,81	-147,6	60,46
7,931	387,9	37,27	-98,88	-43,70
7,964	384,7	32,90	-121,5	-120,3
7,997	379,8	29,26	-128,8	-6,910
8,031	376,1	32,44	-136,5	91,03
8,064	370,7	35,32	-147,3	70,74
8,097	366,3	37,15	-122,3	44,36
8,131	362,6	38,28	-104,6	-64,13
8,164	359,3	32,88	-76,55	-172,9
8,197	357,5	26,76	-80,34	-121,3
8,231	354,0	24,79	-129,7	-42,89
8,264	348,8	23,90	-123,6	-7,045
8,297	345,7	24,32	-83,06	-28,69
8,331	343,3	21,99	-59,65	-116,7
8,364	341,8	16,54	-65,46	-142,3
8,397	338,9	12,50	-106,2	-125,8
8,431	334,7	8,155	-83,87	-59,53
8,464	333,3	8,534	-51,81	-14,07
8,497	331,2	7,218	-89,68	-85,10
8,531	327,3	2,863	-85,62	-126,4
8,564	325,5	-1,203	-75,61	-136,9
8,597	322,3	-6,261	-48,83	-96,46
8,631	322,3	-7,632	-0,539	-20,56
8,664	322,3	-7,632	-10,15	5,410
8,697	321,6	-7,271	-52,21	-29,49
8,731	318,8	-9,597	-62,90	-44,65
8,764	317,4	-10,25	-31,11	-9,472
8,797	316,7	-10,23	-20,83	-9,742
8,831	316,0	-10,90	6,084	35,85
8,864	317,1	-7,839	7,028	71,83
8,897	316,5	-6,109	-23,95	67,50
8,930	315,5	-3,341	-19,62	36,52
8,964	315,2	-3,674	-25,16	21,24
8,997	313,8	-1,926	-19,48	41,66
9,030	313,9	-0,898	-8,933	51,67
9,064	313,3	1,518	4,449	169,6
9,097	314,2	10,41	19,87	169,2
9,130	314,6	12,80	1,888	71,97
9,164	314,3	15,20	-4,332	30,98
9,197	314,3	14,86	-4,736	15,56
9,230	314,0	16,24	22,45	71,43
9,264	315,8	19,62	33,67	107,1
9,297	316,2	23,38	-11,92	134,1
9,330	315,0	28,56	33,40	96,86
9,364	318,5	29,84	82,79	18,40
9,397	320,5	29,78	31,38	19,75
9,430	320,5	31,15	37,20	45,32
9,464	323,0	32,80	47,88	60,47
9,497	323,7	35,18	67,64	29,09
9,530	327,5	34,74	96,86	-33,40
9,564	330,2	32,96	84,69	-105,1
9,597	333,1	27,74	23,01	-103,5
9,630	331,7	26,06	-25,03	26,38
9,664	331,5	29,49	73,18	44,38
9,697	336,6	29,02	76,30	-32,87
9,730	336,6	27,30	95,38	-89,95
9,764	343,0	23,02	130,8	-111,5
9,797	345,3	19,88	84,29	-120,5
9,830	348,6	14,99	95,24	-95,09
9,864	351,6	13,54	101,9	-38,68
9,897	355,4	12,41	121,6	-70,06
9,930	359,7	8,870	95,24	-95,09
9,963	361,7	6,075	59,26	-94,15
9,997	363,7	2,595	130,3	-132,0
10,030	370,4	-2,723	146,6	-96,44
10,063	373,4	-3,832	117,7	-23,66
10,097	378,2	-4,300	148,9	-9,051
10,130	383,4	-4,435	122,2	-49,50
10,163	386,4	-7,599	70,62	-53,29
10,197	388,1	-7,987	71,43	-22,45
10,230	391,1	-9,095	107,5	-19,94
10,263	395,2	-9,315	165,6	18,46
10,297	402,2	-7,865	160,8	9,389
10,330	406,0	-8,690	146,4	-20,17
10,363	411,9	-9,209	195,7	-7,855
10,397	419,0	-9,213	220,9	15,98
10,430	426,7	-8,144	140,1	50,75
10,463	428,3	-5,831	115,9	62,27
10,497	434,4	-3,994	167,8	69,08
10,530	439,5	-1,227	176,0	73,96
10,563	446,1	0,935	235,4	54,78
10,597	455,2	2,424	263,1	25,50
10,630	463,6	2,634	190,1	82,50
10,663	467,9	7,922	204,5	137,2
10,697	477,3	11,78	266,5	155,0
10,730	485,6	18,25		
