mass_A
t	x	y	v_{x}	v_{y}
3,332	531,8	10,93	332,1	10,78
3,366	543,0	11,54	360,1	23,82
3,399	555,8	12,52	358,9	26,11
3,432	567,0	13,28	346,1	11,20
3,466	578,9	13,27	358,5	8,921E-2
3,499	590,8	13,29	368,3	7,951E-2
3,532	603,4	13,27	379,3	-2,827
3,565	616,1	13,10	372,0	-2,494
3,599	628,2	13,10	361,1	-6,077
3,632	640,2	12,70	378,4	-2,306
3,665	653,4	12,95	387,2	1,891
3,699	666,0	12,82	374,4	-9,276
3,732	678,4	12,33	378,9	-12,49
3,765	691,2	11,99	394,8	-15,37
3,799	704,7	11,31	406,4	-19,71
3,832	718,3	10,68	421,3	-21,62
3,865	732,8	9,868	415,6	-21,74
3,899	746,0	9,228	422,6	-35,78
3,932	760,9	7,484	442,2	-51,09
3,965	775,5	5,824	386,3	-46,34
3,999	786,7	4,396	382,3	-37,79
4,032	801,0	3,305	449,0	-29,35
4,065	816,6	2,440	390,7	-26,14
4,099	827,0	1,563	417,5	-29,03
4,132	844,4	0,505	494,7	-21,21
4,165	860,0	0,150	462,7	-2,765
4,199	875,3	0,321	448,3	5,232
4,232	889,9	0,499	452,1	4,535
4,265	905,4	0,623	350,4	-140,3
4,299	913,2	-8,852	383,9	-141,6
4,332	931,0	-8,816	563,0	-6,928
4,365	950,7	-9,314	546,9	-12,35
4,399	967,4	-9,639	444,6	-42,19
4,432	980,4	-12,13	439,1	-23,34
4,465	996,7	-11,19	479,5	-25,96
4,498	1,012E3	-13,86	501,1	-25,91
4,532	1,030E3	-12,92	544,1	17,28
4,565	1,049E3	-12,70	476,9	-42,12
4,598	1,062E3	-15,73	447,2	-23,33
4,632	1,078E3	-14,26	484,8	22,54
4,665	1,094E3	-14,23	476,8	-4,411
4,698	1,110E3	-14,55	533,3	30,72
4,732	1,130E3	-12,18	538,6	65,75
4,765	1,146E3	-10,17	439,0	30,53
4,798	1,159E3	-10,14	428,3	14,35
4,832	1,175E3	-9,214	563,0	11,93
4,865	1,196E3	-9,349	493,0	3,704
4,898	1,207E3	-8,968	501,0	25,27
4,932	1,230E3	-7,665	616,8	36,28
4,965	1,249E3	-6,550	565,6	28,10
4,998	1,268E3	-5,792	393,3	11,58
5,032	1,275E3	-5,778	-153,6	18,54
5,065	1,257E3	-4,557	-697,7	-4,123
5,098	1,228E3	-6,053	-792,0	-7,010
5,132	1,205E3	-5,024	-584,6	1,496
5,165	1,189E3	-5,953	-328,6	-35,69
5,198	1,183E3	-7,403	-229,0	-0,469
5,232	1,174E3	-5,984	-458,1	63,71
5,265	1,152E3	-3,157	-808,3	71,08
5,298	1,120E3	-1,247	-657,3	14,82
5,332	1,108E3	-2,169	-353,0	34,30
5,365	1,097E3	1,038	-288,1	-67,93
5,398	1,089E3	-6,697	-443,8	-316,1
5,432	1,067E3	-20,03	-589,2	-378,3
5,465	1,050E3	-31,91	-401,1	-138,2
5,498	1,040E3	-29,24	-436,7	150,0
5,531	1,021E3	-21,92	-485,6	362,7
5,565	1,008E3	-5,068	-415,3	236,2
5,598	993,1	-6,175	-498,0	-160,0
5,631	974,8	-15,73	-462,7	-305,3
5,665	962,3	-26,52	-333,5	-256,6
5,698	952,6	-32,83	-350,2	18,14
5,731	938,9	-25,32	-447,5	182,3
5,765	922,7	-20,68	-382,5	7,298
5,798	913,4	-24,83	-368,5	-248,6
5,831	898,2	-37,25	-449,4	-248,7
5,865	883,5	-41,41	-452,3	-119,5
5,898	868,0	-45,21	-404,2	50,35
5,931	856,5	-38,05	-372,2	201,3
5,965	843,2	-31,80	-363,9	117,8
5,998	832,3	-30,20	-352,8	-41,13
6,031	819,7	-34,54	-395,5	-240,6
6,065	805,9	-46,23	-386,6	-282,6
6,098	794,0	-53,37	-365,3	-73,18
6,131	781,6	-51,11	-366,0	136,4
6,165	769,6	-44,28	-314,5	102,2
6,198	760,6	-44,30	-303,0	47,96
6,231	749,4	-41,08	-337,1	-20,69
6,265	738,1	-45,68	-365,4	-160,8
6,298	725,0	-51,80	-374,1	-123,6
6,331	713,2	-53,92	-354,4	22,13
6,365	701,4	-50,32	-300,3	145,1
6,398	693,2	-44,25	-268,9	142,3
6,431	683,5	-40,84	-317,3	67,93
6,465	672,1	-39,72	-302,8	-69,20
6,498	663,3	-45,45	-299,8	-114,9
6,531	652,1	-47,38	-320,1	13,63
6,564	642,0	-44,54	-277,4	130,9
6,598	633,6	-38,66	-246,1	159,5
6,631	625,6	-33,91	-217,4	128,1
6,664	619,1	-30,12	-265,8	30,89
6,698	607,9	-31,85	-294,2	-57,75
6,731	599,5	-33,96	-342,9	5,013
6,764	585,0	-31,52	-368,9	136,4
6,798	574,9	-24,87	-280,4	170,9
6,831	566,3	-20,13	-254,5	105,2
6,864	557,9	-17,86	-251,5	28,06
6,898	549,6	-18,26	-185,7	-8,953
6,931	545,6	-18,46	-122,9	8,321
6,964	541,4	-17,71	-183,0	71,06
6,998	533,4	-13,72	-240,2	96,66
7,031	525,4	-11,26	-223,0	65,27
7,064	518,5	-9,373	-271,6	65,17
7,098	507,3	-6,920	-291,5	16,55
7,131	499,1	-8,270	-217,1	-37,59
7,164	492,8	-9,426	-182,9	19,63
7,198	486,9	-6,962	-203,0	45,30
7,231	479,3	-6,406	-225,8	13,83
7,264	471,8	-6,041	-197,2	5,311
7,298	466,1	-6,053	-194,2	-60,41
7,331	458,9	-10,07	-202,7	-89,00
7,364	452,6	-11,98	-174,2	-48,93
7,398	447,3	-13,33	-188,5	-28,96
7,431	440,0	-13,91	-185,7	-20,38
7,464	434,9	-14,69	-174,2	-43,22
7,498	428,4	-16,79	-168,4	-83,21
7,531	423,7	-20,23	-156,9	-108,9
7,564	418,0	-24,05	-157,0	-77,47
7,597	413,2	-25,39	-142,7	-74,59
7,631	408,5	-29,02	-151,3	-83,18
7,664	403,1	-30,94	-134,2	-60,28
7,697	399,5	-33,04	-102,7	-80,22
7,731	396,3	-36,28	-88,38	-97,34
7,764	393,6	-39,53	-117,0	-54,53
7,797	388,5	-39,92	-148,6	2,553
7,831	383,7	-39,36	-157,2	13,97
7,864	378,0	-38,99	-154,3	-26,03
7,897	373,4	-41,09	-140,2	-68,12
7,931	368,7	-43,53	-158,0	-79,92
7,964	362,9	-46,42	-122,3	-47,05
7,997	360,5	-46,66	-86,42	10,62
8,031	357,2	-45,71	-97,25	25,00
8,064	354,0	-45,00	-57,64	21,48
8,097	353,3	-44,28	-28,82	7,141
8,131	352,1	-44,52	-46,80	-9,587E-2
8,164	350,2	-44,29	-68,47	32,26
8,197	347,6	-42,37	-82,94	68,23
8,231	344,7	-39,74	-79,36	79,04
8,264	342,3	-37,10	-93,76	79,01
8,297	338,4	-34,47	-79,30	50,24
8,331	337,0	-33,76	-28,89	43,14
8,364	336,5	-31,60	-61,33	61,08
8,397	332,9	-29,69	-79,44	115,0
8,431	331,2	-23,93	-47,07	129,5
8,464	329,8	-21,05	-32,53	64,73
8,497	329,0	-19,62	-21,67	32,36
8,530	328,3	-18,90	-36,12	57,53
8,564	326,6	-15,78	-54,14	68,29
8,597	324,7	-14,35	-50,51	53,90
8,630	323,3	-12,19	-43,38	89,91
8,664	321,8	-8,355	-21,65	25,16
8,697	321,8	-10,51	0,118	-57,60
8,730	321,8	-12,19	10,87	-32,38
8,764	322,5	-12,67	10,81	-7,178
8,797	322,5	-12,67	0,000	0,000
8,830	322,5	-12,67	10,73	36,02
8,864	323,3	-10,27	43,14	28,89
8,897	325,4	-10,75	54,04	-21,49
8,930	326,9	-11,70	14,53	-64,77
8,964	326,4	-15,06	7,436	-115,2
8,997	327,4	-19,38	21,78	-89,96
9,030	327,8	-21,06	10,88	-39,58
9,064	328,1	-22,02	3,718	-57,59
9,097	328,1	-24,90	-7,023	-86,42
9,130	327,6	-27,78	39,80	-97,12
9,164	330,7	-31,37	101,0	-96,99
9,197	334,3	-34,24	100,9	-68,19
9,230	337,5	-35,91	68,47	-32,26
9,264	338,9	-36,39	68,45	-21,46
9,297	342,0	-37,34	75,72	-57,45
9,330	344,0	-40,22	43,38	-86,31
9,364	344,9	-43,10	46,97	-82,71
9,397	347,1	-45,73	79,26	-28,64
9,430	350,2	-45,01	96,43	32,43
9,464	353,5	-43,57	117,1	-37,59
9,497	358,0	-47,51	86,30	-48,31
9,530	359,3	-46,79	94,26	10,97
9,563	364,3	-46,78	102,3	21,76
9,597	366,1	-45,34	104,9	62,17
9,630	371,3	-42,64	69,95	43,24
9,663	370,7	-42,46	64,66	-2,561
9,697	375,6	-42,81	118,5	21,79
9,730	378,6	-41,01	142,7	56,86
9,763	385,1	-39,02	134,6	56,85
9,797	387,6	-37,22	96,73	118,7
9,830	391,5	-31,10	142,5	121,5
9,863	397,1	-29,12	161,5	67,68
9,897	402,3	-26,59	156,1	70,36
9,930	407,5	-24,43	110,4	29,86
9,963	409,7	-24,60	67,32	10,91
9,997	412,0	-23,70	123,8	70,29
10,030	417,9	-19,92	150,6	108,1
10,063	422,0	-16,50	134,5	89,17
10,097	426,9	-13,98	218,1	48,94
10,130	436,6	-13,24		
