mass_A
t	x	y	v_{x}	v_{y}
0,000	-1,679	13,25		
0,033	-1,805	14,57	7,410	57,82
0,067	-1,185	17,11	7,600	85,76
0,100	-1,299	20,29	-3,807	5,450
0,133	-1,439	17,47	3,459	-62,21
0,167	-1,068	16,14	22,05	-22,92
0,200	2,999E-2	15,94	35,85	-1,619
0,233	1,321	16,03	28,17	35,73
0,267	1,907	18,32	13,96	47,46
0,300	2,252	19,20	10,02	-72,65
0,333	2,575	13,48	9,286	-146,4
0,367	2,871	9,443	7,094	-84,94
0,400	3,048	7,821	19,71	-59,30
0,433	4,184	5,491	36,71	-41,11
0,467	5,494	5,081	41,99	105,4
0,500	6,982	12,52	36,11	134,5
0,533	7,901	14,04	28,98	-69,57
0,566	8,914	7,881	18,65	-173,9
0,600	9,144	2,455	11,15	-82,19
0,633	9,657	2,403	25,21	14,01
0,666	10,82	3,389	30,87	43,16
0,700	11,71	5,279	25,40	57,40
0,733	12,52	7,214	37,19	42,80
0,766	14,19	8,132	50,88	32,12
0,800	15,91	9,355	37,71	38,84
0,833	16,70	10,72	33,51	40,67
0,866	18,14	12,06	54,88	42,01
0,900	20,36	13,52	70,89	34,12
0,933	22,87	14,34	75,87	22,13
0,966	25,42	14,99	87,58	1,160
1,000	28,70	14,42	84,69	-6,400
1,033	31,06	14,57	76,37	-2,126
1,066	33,79	14,27	94,88	-13,53
1,100	37,39	13,67	117,0	-35,79
1,133	41,59	11,89	139,7	-56,79
1,166	46,70	9,881	146,8	-59,41
1,200	51,37	7,929	130,8	-47,99
1,233	55,41	6,683	114,9	-35,50
1,266	59,03	5,563	100,7	-47,50
1,300	62,12	3,518	110,9	-55,44
1,333	66,42	1,869	135,9	-35,20
1,366	71,18	1,172	133,7	-22,45
1,400	75,33	0,372	129,5	-28,73
1,433	79,80	-0,743	127,5	-16,90
1,466	83,83	-0,754	134,2	5,131
1,500	88,75	-0,401	156,2	22,27
1,533	94,24	0,730	164,7	34,00
1,566	99,72	1,865	126,5	41,97
1,599	102,7	3,528	103,0	54,61
1,633	106,6	5,505	138,3	58,64
1,666	111,9	7,436	163,6	40,12
1,699	117,5	8,179	170,0	36,41
1,733	123,2	9,862	158,8	47,22
1,766	128,1	11,33	140,2	41,30
1,799	132,6	12,61	157,8	44,33
1,833	138,6	14,28	174,8	35,85
1,866	144,2	15,00	186,0	30,74
1,899	151,0	16,33	189,8	20,09
1,933	156,9	16,34	180,1	-11,54
1,966	163,0	15,56	185,2	-25,34
1,999	169,2	14,65	197,7	-17,31
2,033	176,2	14,41	218,8	-7,504
2,066	183,8	14,15	215,3	-23,67
2,099	190,5	12,83	225,8	-29,85
2,133	198,8	12,16	250,4	-29,11
2,166	207,2	10,89	229,0	-34,34
2,199	214,1	9,876	212,3	-35,05
2,233	221,3	8,552	225,0	-34,83
2,266	229,1	7,555	241,5	-38,67
2,299	237,4	5,975	255,2	-49,88
2,333	246,1	4,231	238,4	-47,42
2,366	253,3	2,815	225,8	-39,02
2,399	261,1	1,630	247,9	-39,33
2,433	269,8	0,194	264,2	-34,10
2,466	278,8	-0,642	264,4	-38,81
2,499	287,5	-2,393	238,2	-32,89
2,532	294,6	-2,834	232,3	-23,16
2,566	302,9	-3,936	243,9	-29,26
2,599	310,9	-4,784	254,7	-12,94
2,632	319,9	-4,798	266,5	-0,598
2,666	328,7	-4,824	256,9	1,664
2,699	337,0	-4,687	252,5	9,067
2,732	345,5	-4,220	281,7	23,40
2,766	355,8	-3,128	311,4	26,88
2,799	366,2	-2,429	279,1	13,19
2,832	374,4	-2,249	258,4	28,90
2,866	383,5	-0,503	276,4	39,19
2,899	392,8	0,363	297,3	35,68
2,932	403,3	1,875	313,5	27,90
2,966	413,7	2,222	300,6	13,68
2,999	423,3	2,787	290,0	27,33
3,032	433,1	4,044	296,4	27,17
3,066	443,0	4,598	323,8	31,50
3,099	454,6	6,143	320,2	31,57
3,132	464,4	6,702	312,7	35,18
3,166	475,5	8,487	326,9	34,39
3,199	486,2	8,994	344,2	22,62
3,232	498,4	9,995	353,6	26,31
3,266	509,7	10,75	337,4	12,47
3,299	520,9	10,83	331,2	2,776
