mass_B
t	x	y
0,000	0,333	-17,20
0,033	0,270	-17,20
0,067	0,162	-17,26
0,100	0,222	-17,26
0,133	0,157	-17,28
0,167	0,278	-17,24
0,200	0,271	-17,33
0,233	0,275	-17,31
0,267	8,968E-2	-17,47
0,300	0,421	-17,68
0,333	0,519	-18,10
0,367	8,130E-2	-17,96
0,400	0,504	-17,65
0,433	0,755	-18,42
0,467	0,389	-18,73
0,500	0,296	-17,84
0,533	0,361	-18,64
0,566	0,407	-18,87
0,600	0,357	-19,01
0,633	0,294	-18,60
0,666	0,299	-19,04
0,700	0,269	-18,61
0,733	0,341	-19,14
0,766	0,311	-18,25
0,800	0,260	-18,27
0,833	0,398	-17,65
0,866	0,361	-18,62
0,900	0,505	-18,12
0,933	0,449	-18,82
0,966	0,536	-19,00
1,000	0,543	-18,88
1,033	0,763	-19,06
1,066	0,490	-19,34
1,100	0,693	-19,32
1,133	1,051	-19,48
1,166	0,630	-19,49
1,200	0,725	-19,41
1,233	0,529	-19,37
1,266	1,089	-19,40
1,300	1,404	-19,40
1,333	2,036	-19,24
1,366	2,611	-19,33
1,400	2,646	-19,03
1,433	3,278	-19,09
1,466	3,894	-19,12
1,500	4,403	-19,15
1,533	5,314	-19,17
1,566	5,285	-18,89
1,599	5,197	-18,64
1,633	5,256	-19,10
1,666	6,197	-19,26
1,699	6,221	-19,17
1,733	6,930	-19,33
1,766	7,120	-19,45
1,799	7,646	-20,07
1,833	7,959	-20,82
1,866	8,268	-21,13
1,899	8,287	-21,29
1,933	9,160	-21,56
1,966	11,88	-20,87
1,999	15,52	-23,36
2,033	17,60	-21,98
2,066	18,49	-20,06
2,099	20,09	-20,83
2,133	16,90	-19,28
2,166	15,53	-21,32
2,199	16,59	-21,23
2,233	17,64	-20,73
2,266	17,79	-20,07
2,299	19,12	-19,82
2,333	20,23	-19,89
2,366	19,94	-19,56
2,399	21,42	-19,36
2,433	22,15	-19,29
2,466	23,10	-19,28
2,499	24,72	-19,43
2,532	25,99	-19,36
2,566	26,31	-19,44
2,599	27,74	-19,51
2,632	28,93	-19,74
2,666	30,61	-20,50
2,699	32,27	-21,14
2,732	34,16	-21,17
2,766	34,56	-21,91
2,799	39,71	-19,82
2,832	36,89	-22,22
2,866	38,66	-22,08
2,899	41,16	-20,18
2,932	41,73	-21,87
2,966	43,45	-21,79
2,999	45,15	-21,68
3,032	46,42	-21,52
3,066	47,12	-21,71
3,099	49,91	-21,23
3,132	51,42	-21,12
3,166	52,60	-21,15
3,199	54,42	-20,78
