mass_B
t	x	y
8,064	1,131E3	22,82
8,097	1,124E3	24,34
8,131	1,115E3	25,65
8,164	1,104E3	30,22
8,197	1,095E3	31,24
8,231	1,085E3	31,66
8,264	1,078E3	34,15
8,297	1,064E3	37,58
8,331	1,053E3	39,84
8,364	1,042E3	38,85
8,397	1,032E3	40,50
8,431	1,022E3	39,97
8,464	1,012E3	42,45
8,497	999,3	47,88
8,530	994,2	47,95
8,564	985,2	49,83
8,597	974,3	50,77
8,630	966,9	51,99
8,664	957,3	52,65
8,697	947,8	53,06
8,730	939,0	54,39
8,764	930,7	54,72
8,797	921,2	55,12
8,830	910,5	54,68
8,864	901,5	53,91
8,897	893,5	53,32
8,930	885,6	53,19
8,964	876,3	52,90
8,997	867,7	51,54
9,030	859,0	50,61
9,064	850,0	48,93
9,097	840,9	42,69
9,130	834,3	41,52
9,164	825,5	39,88
9,197	816,2	38,06
9,230	808,7	35,89
9,264	801,7	33,56
9,297	793,7	31,53
9,330	785,5	29,41
9,364	775,8	26,68
9,397	767,5	24,03
9,430	762,1	21,55
9,464	755,3	19,30
9,497	747,2	18,28
9,530	735,3	14,86
9,563	727,1	10,78
9,597	721,5	10,94
9,630	716,7	9,720
9,663	704,6	6,579
9,697	696,7	5,198
9,730	689,8	4,024
9,763	683,8	4,751
9,797	675,4	4,753
9,830	668,5	4,699
9,863	665,2	0,233
9,897	656,6	0,352
9,930	645,7	3,777
9,963	641,4	4,641
9,997	625,8	1,623
10,030	618,3	1,875
10,063	612,1	3,116
10,097	609,1	6,892
10,130	602,4	8,334
10,163	596,5	10,06
10,197	590,1	11,61
10,230	583,4	12,90
10,263	576,8	14,86
10,297	570,9	16,65
10,330	564,7	18,68
10,363	559,2	21,07
10,397	553,1	23,27
10,430	546,7	25,74
10,463	539,1	27,12
10,496	536,7	28,83
10,530	530,6	31,17
10,563	522,7	33,24
10,596	516,6	34,16
10,630	510,4	35,74
10,663	505,7	36,40
10,696	500,1	37,71
10,730	494,5	38,67
10,763	488,9	38,97
10,796	483,4	38,90
10,830	477,7	38,62
10,863	473,0	38,63
10,896	465,7	37,07
10,930	461,2	36,50
10,963	455,3	34,95
10,996	449,9	33,15
11,030	445,5	32,09
11,063	439,0	29,87
11,096	434,6	27,84
11,130	429,5	25,40
11,163	422,5	22,54
11,196	419,9	23,72
11,230	416,7	18,92
11,263	407,9	13,17
11,296	407,0	12,60
11,330	404,7	10,96
11,363	397,4	9,683
11,396	389,7	6,919
11,430	381,0	5,611
11,463	382,7	5,324
11,496	379,4	4,284
11,529	374,3	0,944
11,563	370,4	-1,256
11,596	364,8	3,861
11,629	363,3	2,284
11,663	357,3	1,431
11,696	355,8	1,359
11,729	350,3	3,483
11,763	346,2	6,275
11,796	341,6	8,937
11,829	341,8	10,03
11,863	333,9	12,36
11,896	328,6	15,34
11,929	319,8	14,43
11,963	316,2	17,59
11,996	314,3	18,98
12,029	313,2	20,00
12,063	308,5	24,23
12,096	302,5	25,83
12,129	297,5	29,46
12,163	293,1	34,44
12,196	290,3	33,67
12,229	291,0	33,69
12,263	282,4	31,95
12,296	279,8	36,05
12,329	275,3	35,51
12,363	271,5	38,31
12,396	274,8	36,45
12,429	266,7	36,15
12,463	265,9	36,15
12,496	261,2	35,07
12,529	257,6	33,32
12,562	254,1	29,56
12,596	249,4	28,21
12,629	245,6	27,09
12,662	245,5	24,55
12,696	241,3	19,41
12,729	243,3	15,43
12,762	241,0	18,79
12,796	237,9	16,38
12,829	235,2	15,07
12,862	232,8	14,11
12,896	231,5	15,98
12,929	226,7	4,329
12,962	225,5	7,000
12,996	223,2	7,284
13,029	225,9	6,304
13,062	221,4	3,423
13,096	220,7	3,364
13,129	217,9	2,331
13,162	212,0	7,386
13,196	205,6	7,546
13,229	204,3	11,61
13,262	204,2	13,49
13,296	203,7	13,81
13,329	199,7	17,85
13,362	199,4	20,40
13,396	198,8	21,74
13,429	193,7	23,27
13,462	197,6	28,01
13,495	197,6	28,37
13,529	193,0	31,85
13,562	191,6	31,14
13,595	187,0	29,69
13,629	184,8	30,07
13,662	183,8	31,00
13,695	183,8	31,05
13,729	182,9	32,69
13,762	180,0	32,14
13,795	177,4	29,18
13,829	178,7	22,40
13,862	180,6	19,00
13,895	180,6	16,95
13,929	179,9	16,63
13,962	178,8	16,45
13,995	178,0	12,93
14,029	176,6	13,38
14,062	173,9	10,30
14,095	173,2	7,809
14,129	174,0	4,766
14,162	173,5	3,992
14,195	173,0	2,551
14,229	171,8	1,878
14,262	171,6	1,208
14,295	171,5	0,765
14,329	170,2	2,218
14,362	170,4	1,789
14,395	169,1	3,869
14,429	168,8	7,155
14,462	169,1	9,800
14,495	169,4	12,98
14,528	169,8	16,29
14,562	169,4	19,21
14,595	169,0	22,23
14,628	169,6	24,77
14,662	169,7	27,50
14,695	169,6	29,48
14,728	169,4	31,51
14,762	169,4	33,43
14,795	166,8	34,35
14,828	169,3	35,55
14,862	169,1	37,63
14,895	169,6	37,51
14,928	171,1	37,23
14,962	169,5	35,61
14,995	168,9	31,51
15,028	168,9	29,37
15,062	171,3	27,32
15,095	174,2	24,61
15,128	173,3	22,37
15,162	174,5	19,31
15,195	175,9	16,56
15,228	176,6	14,10
15,262	178,4	11,67
15,295	179,1	9,488
15,328	180,1	6,597
15,362	181,6	4,709
15,395	182,7	3,574
15,428	183,7	3,108
15,462	184,9	3,163
15,495	185,8	3,322
15,528	187,2	3,707
15,561	190,1	15,00
15,595	193,9	3,442
15,628	195,4	5,690
15,661	197,2	8,830
15,695	195,1	12,74
15,728	197,1	16,22
15,761	199,3	19,36
15,795	200,4	22,38
15,828	201,7	25,27
15,861	202,9	27,73
15,895	204,1	30,05
15,928	205,5	32,98
15,961	207,9	35,90
15,995	209,9	37,90
16,028	211,9	39,78
16,061	214,2	38,12
16,095	214,5	39,63
16,128	216,4	40,34
16,161	218,4	39,25
16,195	221,9	39,08
16,228	223,0	37,11
16,261	226,8	36,04
16,295	228,6	33,72
16,328	231,0	31,59
16,361	233,7	28,87
16,395	237,1	26,05
16,428	239,3	23,24
16,461	241,6	20,05
16,494	245,7	18,25
16,528	248,0	15,07
16,561	251,2	12,55
16,594	254,2	11,36
16,628	257,4	9,584
16,661	260,3	8,395
16,694	264,3	6,873
16,728	266,6	6,150
16,761	270,1	5,874
16,794	273,1	5,874
16,828	276,7	6,029
16,861	279,7	6,565
16,894	283,1	10,47
