mass_B
t	x	y
0,000	0,855	11,24
0,067	0,864	11,22
0,133	0,965	11,15
0,200	1,720	10,63
0,267	1,020	10,97
0,333	1,137	11,05
0,400	1,634	11,00
0,467	1,159	11,20
0,533	1,755	11,22
0,600	2,308	11,19
0,666	2,972	10,78
0,733	3,474	10,48
0,800	4,363	9,853
0,866	5,461	9,304
0,933	6,259	8,934
1,000	7,834	8,905
1,066	8,892	8,859
1,133	10,46	8,506
1,200	11,23	9,045
1,266	12,98	9,186
1,333	16,18	11,67
1,400	15,20	10,62
1,466	16,90	11,79
1,533	18,54	12,56
1,599	20,07	9,996
1,666	22,37	9,688
1,733	24,69	9,036
1,799	26,84	8,936
1,866	29,25	8,733
1,933	31,46	8,961
1,999	33,61	9,134
2,066	35,86	9,293
2,133	35,13	11,84
2,199	40,74	9,356
2,266	42,61	10,40
2,333	46,03	9,109
2,399	48,39	10,41
2,466	50,77	10,33
2,532	54,33	10,31
2,599	56,95	10,35
2,666	60,54	9,567
2,732	63,89	10,12
2,799	67,69	10,04
2,866	70,40	10,78
2,932	74,74	10,50
2,999	77,79	10,70
3,066	82,38	11,25
3,132	85,20	11,65
3,199	89,66	11,34
3,266	93,71	11,53
3,332	96,02	12,88
3,399	101,0	11,11
3,466	106,2	10,85
3,532	109,3	10,58
3,599	114,9	9,945
3,665	119,4	9,483
3,732	124,6	9,543
3,799	129,0	9,150
3,865	133,1	9,328
3,932	137,3	9,261
3,999	141,8	10,04
4,065	146,2	10,65
4,132	151,3	11,55
4,199	158,2	10,19
4,265	161,9	10,93
4,332	167,0	10,96
4,399	172,9	10,91
4,465	178,5	10,63
4,532	183,4	10,45
4,598	190,5	9,832
4,665	196,4	9,278
4,732	201,7	9,006
4,798	209,2	8,740
4,865	215,2	8,412
4,932	220,5	8,937
4,998	226,7	8,937
5,065	233,2	8,934
5,132	240,2	9,023
5,198	246,4	9,212
5,265	253,3	9,084
5,332	260,8	9,437
5,398	265,3	9,671
5,465	272,8	9,295
5,531	279,7	9,789
5,598	285,8	10,16
5,665	294,4	9,788
5,731	300,5	9,351
5,798	306,8	9,406
5,865	314,5	9,060
5,931	322,3	9,005
5,998	329,5	8,903
6,065	336,2	8,923
6,131	343,4	8,722
6,198	351,4	8,871
6,265	359,0	8,927
6,331	368,3	8,724
6,398	374,9	8,966
6,465	384,3	8,495
6,531	390,8	9,069
6,598	398,2	9,793
6,664	406,4	10,62
6,731	415,6	10,81
6,798	423,4	11,07
6,864	432,6	11,21
6,931	441,7	11,44
6,998	450,3	11,53
7,064	458,6	11,17
7,131	467,3	11,46
7,198	476,0	11,25
7,264	485,4	11,44
7,331	494,0	11,14
7,398	502,6	11,21
7,464	512,2	11,12
7,531	520,8	10,99
7,597	530,2	10,98
7,664	540,7	10,89
7,731	549,4	10,46
7,797	558,7	10,80
7,864	568,5	9,822
7,931	578,7	10,47
7,997	588,2	10,58
8,064	597,6	9,692
8,131	607,6	9,630
8,197	617,4	9,480
8,264	628,3	9,491
8,331	639,4	9,339
8,397	650,1	9,394
8,464	660,5	9,570
8,530	670,9	9,679
