t	x	y
17.328	46.693	-2.089
17.394	45.937	-1.463
17.461	45.151	-0.773
17.528	44.493	-0.181
17.594	43.742	0.241
17.661	42.980	0.383
17.728	42.163	0.389
17.794	41.393	0.189
17.861	40.663	-0.074
17.927	39.992	-0.665
17.994	39.324	-1.349
18.061	38.603	-2.059
18.127	37.999	-2.716
18.194	37.374	-3.460
18.261	36.725	-4.115
18.327	36.056	-4.572
18.394	35.496	-4.886
18.461	34.897	-4.944
18.527	34.245	-4.803
18.594	33.495	-4.372
18.661	32.892	-3.764
18.727	32.354	-3.044
18.794	31.757	-2.315
18.860	31.196	-1.601
18.927	30.606	-0.914
18.994	30.030	-0.364
19.060	29.437	0.051
19.127	28.951	0.154
19.194	28.480	0.006
19.260	27.987	-0.339
19.327	27.531	-0.780
19.394	27.100	-1.605
19.460	26.816	-2.185
19.527	26.202	-3.018
19.594	25.796	-3.722
19.660	25.435	-4.249
19.727	24.970	-4.592
19.794	24.636	-4.738
19.860	24.196	-4.548
19.927	23.672	-4.138
19.993	23.367	-3.493
20.060	23.103	-2.828
20.127	22.578	-1.977
20.193	22.263	-1.244
20.260	21.891	-0.579
20.327	21.509	-0.146
20.393	21.197	0.052
20.460	21.274	-0.114
20.527	20.606	-0.368
20.593	20.372	-0.915
20.660	20.124	-1.683
20.727	19.878	-2.445
20.793	19.641	-3.229
20.860	19.322	-3.828
20.926	19.062	-4.294
20.993	18.797	-4.524
21.060	18.668	-4.496
21.126	18.335	-4.000
21.193	18.663	-3.384
21.260	18.601	-2.641
21.326	17.765	-2.022
21.393	18.142	-1.143
21.460	17.306	-0.490
21.526	17.130	-0.125
21.593	16.991	0.059
21.660	16.940	-0.103
21.726	16.843	-0.461
21.793	16.816	-1.179
21.860	16.716	-1.943
21.926	16.641	-2.788
21.993	16.600	-3.459
22.059	16.488	-4.022
22.126	16.512	-4.425
22.193	16.414	-4.456
22.259	16.438	-4.212
22.326	16.436	-3.701
22.393	16.408	-2.971
22.459	16.344	-2.192
22.526	16.495	-1.435
22.593	16.458	-0.698
22.659	16.449	-0.216
22.726	16.483	-0.071
22.793	16.686	-0.131
22.859	16.823	-0.194
22.926	16.892	-0.898
22.992	17.015	-1.675
23.059	17.100	-2.446
23.126	17.257	-3.219
23.192	17.369	-3.769
23.259	17.521	-4.214
23.326	17.541	-4.281
23.392	17.787	-4.228
23.459	18.719	-3.688
23.526	18.742	-2.652
23.592	18.220	-2.191
23.659	18.345	-1.437
23.726	19.136	-0.638
23.792	18.597	-0.148
23.859	18.755	0.179
23.925	19.087	0.226
23.992	19.293	-0.096
24.059	19.701	-0.559
24.125	19.902	-1.244
24.192	20.221	-1.985
24.259	21.265	-2.753
24.325	20.832	-3.458
24.392	21.134	-4.005
24.459	21.575	-4.403
24.525	21.863	-4.475
24.592	22.220	-4.195
24.659	22.450	-3.767
24.725	22.863	-3.064
24.792	23.230	-2.415
24.858	24.235	-1.258
24.925	23.880	-0.875
24.992	24.277	-0.323
25.092	24.729	0.273
25.158	25.096	0.293
25.225	25.612	0.124
25.292	26.575	-0.173
25.358	26.544	-0.928
25.425	27.072	-1.692
25.492	27.485	-2.437
