t	x	y
0.067	0.125	2.357
0.133	0.130	2.095
0.200	0.213	1.599
0.267	0.401	1.196
0.333	0.530	1.046
0.400	0.621	0.692
0.467	0.728	0.688
0.533	1.023	0.748
0.600	1.261	1.305
0.666	1.383	1.681
0.733	2.138	2.128
0.800	2.221	2.191
0.866	2.839	2.107
0.933	3.147	1.929
1.000	3.788	1.602
1.066	4.309	1.053
1.133	5.495	0.768
1.200	6.374	0.183
1.266	7.255	0
1.333	7.878	0.175
1.400	8.625	0.289
1.466	9.768	0.999
1.533	10.54	1.371
1.599	11.67	1.999
1.666	12.79	2.379
1.733	13.91	2.551
1.799	15.09	2.718
1.866	15.89	2.567
1.933	17.62	2.213
1.999	18.98	1.736
2.066	20.48	1.226
2.133	21.93	0.704
2.199	23.54	0.230
2.266	25.59	0
2.333	26.68	-0.142
2.399	28.33	-0.169
2.466	30.02	0
2.532	31.82	0.199
2.599	33.47	0.615
2.666	35.65	1.044
2.732	37.38	1.485
2.799	39.29	1.981
2.866	41.37	2.372
2.932	43.34	2.721
2.999	45.47	3.029
3.066	47.68	3.181
3.132	49.86	3.262
3.199	52.28	3.090
3.266	55.07	2.689
3.332	57.12	2.334
3.399	59.39	1.992
3.466	61.59	1.616
3.532	64.67	0.968
3.599	67.39	0.468
3.665	69.53	0.205
3.732	71.87	0
3.799	74.27	-0.136
3.865	76.61	-0.206
3.932	79.72	-0.201
3.999	83.88	-0
4.065	85.58	-0
4.132	88.18	0
4.199	91.69	-0.289
4.265	95.10	-0.182
4.332	97.57	0
4.399	99.79	0.262
4.465	103.8	0.989
4.532	107.1	1.276
4.598	110.0	1.659
4.698	115.1	2.365
4.765	118.3	2.653
4.832	121.8	2.638
4.898	125.0	2.976
4.965	128.8	3.163
5.032	131.7	3.202
5.098	135.8	3.046
5.165	139.4	3.058
5.232	142.6	3.044
5.298	146.9	2.935
5.365	151.1	2.627
5.432	154.5	2.533
5.498	153.7	2.013
5.565	148.1	1.518
5.631	146.4	0.476
5.698	141.7	0.184
5.765	138.7	-0.237
5.831	134.4	-2.890
5.898	131.4	-3.822
5.965	128.1	-2.468
6.031	124.7	-3.662
6.098	121.5	-6.484
6.165	118.0	-6.517
6.231	114.6	-5.718
6.298	112.0	-7.205
6.365	108.6	-8.757
6.431	105.9	-7.196
6.498	103.1	-6.781
6.564	100.2	-8.246
6.631	97.72	-7.477
6.698	94.94	-5.786
6.764	92.49	-6.170
6.831	89.82	-5.614
6.898	87.18	-3.512
6.964	85.04	-2.935
7.031	82.57	-2.834
7.098	79.92	-1.126
7.164	78.22	-0.383
7.231	76.38	0
7.331	73.11	1.521
7.398	70.97	2.100
7.464	68.81	1.122
7.531	66.91	1.741
7.597	65.47	1.699
7.664	63.53	0.218
7.731	61.71	-0
7.797	59.95	-0.926
7.864	57.95	-2.352
7.931	56.28	-3.113
7.997	54.43	-3.250
8.064	52.84	-4.878
8.131	52.04	-5.510
8.197	50.86	-5.964
8.264	49.36	-6.687
8.331	48.27	-6.932
8.397	47.16	-6.373
8.464	45.49	-6.321
8.530	44.80	-5.823
8.597	43.70	-4.118
8.664	42.93	-3.393
8.730	41.70	-2.425
8.797	40.92	-1.177
8.864	40.15	-0.286
8.930	39.09	0
8.997	38.37	1.047
9.064	37.74	1.317
9.130	37.05	1.226
9.197	36.54	0.823
9.264	36.21	0
9.330	35.62	-0.873
9.397	35.37	-2.004
9.464	35.06	-3.063
9.530	34.68	-4.330
9.597	34.41	-5.197
9.664	34.24	-5.952
9.730	34.06	-6.505
9.797	33.92	-6.563
9.863	34.15	-6.093
9.930	34.12	-5.936
9.997	34.25	-5.152
10.063	34.51	-4.237
10.130	34.70	-3.179
10.197	34.99	-1.941
10.263	35.31	-0.781
10.330	35.61	0.300
10.397	36.11	0.809
10.463	36.62	1.250
10.530	36.94	1.230
10.597	37.71	0.932
10.663	38.43	0.862
10.730	39.33	-0.507
10.796	40.18	-1.519
10.863	41.11	-2.615
10.930	41.91	-3.673
10.996	42.80	-4.686
11.063	43.75	-5.623
11.130	44.76	-6.429
